DATE,TIME,SPO2,PULSE
2014-06-29, 20:53:16, 96, 82
2014-06-29, 20:53:17, 96, 81
2014-06-29, 20:53:18, 96, 80
2014-06-29, 20:53:19, 96, 79
2014-06-29, 20:53:20, 96, 79
2014-06-29, 20:53:21, 95, 79
2014-06-29, 20:53:22, 95, 79
2014-06-29, 20:53:23, 95, 79
2014-06-29, 20:53:24, 95, 79
2014-06-29, 20:53:25, 95, 79
2014-06-29, 20:53:26, 95, 79
2014-06-29, 20:53:27, 95, 79
2014-06-29, 20:53:28, 95, 79
2014-06-29, 20:53:29, 95, 79
2014-06-29, 20:53:30, 95, 79
2014-06-29, 20:53:31, 95, 79
2014-06-29, 20:53:32, 96, 79
2014-06-29, 20:53:33, 96, 79
2014-06-29, 20:53:34, 96, 79
2014-06-29, 20:53:35, 96, 79
2014-06-29, 20:53:36, 96, 79
2014-06-29, 20:53:37, 96, 79
2014-06-29, 20:53:38, 96, 79
2014-06-29, 20:53:39, 96, 79
2014-06-29, 20:53:40, 96, 79
2014-06-29, 20:53:41, 96, 80
2014-06-29, 20:53:42, 96, 80
2014-06-29, 20:53:43, 96, 81
2014-06-29, 20:53:44, 96, 81
2014-06-29, 20:53:45, 96, 81
2014-06-29, 20:53:46, 96, 81
2014-06-29, 20:53:47, 96, 81
2014-06-29, 20:53:48, 96, 81
2014-06-29, 20:53:49, 96, 81
2014-06-29, 20:53:50, 96, 81
2014-06-29, 20:53:51, 96, 81
2014-06-29, 20:53:52, 96, 81
2014-06-29, 20:53:53, 96, 81
2014-06-29, 20:53:54, 96, 81
2014-06-29, 20:53:55, 96, 81
2014-06-29, 20:53:56, 96, 82
2014-06-29, 20:53:57, 95, 82
2014-06-29, 20:53:58, 95, 83
2014-06-29, 20:53:59, 95, 84
2014-06-29, 20:54:00, 95, 85
2014-06-29, 20:54:01, 95, 86
2014-06-29, 20:54:02, 95, 85
2014-06-29, 20:54:03, 95, 84
2014-06-29, 20:54:04, 96, 83
2014-06-29, 20:54:05, 96, 81
2014-06-29, 20:54:06, 96, 80
2014-06-29, 20:54:07, 96, 79
2014-06-29, 20:54:08, 96, 79
2014-06-29, 20:54:09, 96, 80
2014-06-29, 20:54:10, 96, 80
2014-06-29, 20:54:11, 96, 81
2014-06-29, 20:54:12, 96, 82
2014-06-29, 20:54:13, 96, 82
2014-06-29, 20:54:14, 96, 82
2014-06-29, 20:54:15, 96, 81
2014-06-29, 20:54:16, 95, 80
2014-06-29, 20:54:17, 95, 79
2014-06-29, 20:54:18, 95, 79
2014-06-29, 20:54:19, 95, 79
2014-06-29, 20:54:20, 95, 79
2014-06-29, 20:54:21, 95, 79
2014-06-29, 20:54:22, 95, 79
2014-06-29, 20:54:23, 95, 79
2014-06-29, 20:54:24, 95, 80
2014-06-29, 20:54:25, 95, 81
2014-06-29, 20:54:26, 95, 83
2014-06-29, 20:54:27, 95, 83
2014-06-29, 20:54:28, 96, 85
2014-06-29, 20:54:29, 96, 85
2014-06-29, 20:54:30, 96, 84
